onset	duration	sample	trial_type	response_time	stim_file	value
4.2968750000	n/a	1100	stimulus	n/a	n/a	standard
5.2109375000	n/a	1334	stimulus	n/a	n/a	standard
6.3125000000	n/a	1616	stimulus	n/a	n/a	standard
7.2656250000	n/a	1860	stimulus	n/a	n/a	standard
8.2812500000	n/a	2120	stimulus	n/a	n/a	standard
9.2382812500	n/a	2365	stimulus	n/a	n/a	standard
10.2421875000	n/a	2622	stimulus	n/a	n/a	standard
11.2578125000	n/a	2882	stimulus	n/a	n/a	standard
12.2617187500	n/a	3139	stimulus	n/a	n/a	standard
13.2812500000	n/a	3400	stimulus	387	n/a	noise_with_reponse
13.6679687500	n/a	3499	response	n/a	n/a	response
14.2539062500	n/a	3649	stimulus	n/a	n/a	standard
15.2773437500	n/a	3911	stimulus	n/a	n/a	standard
16.2851562500	n/a	4169	stimulus	n/a	n/a	standard
17.3359375000	n/a	4438	stimulus	n/a	n/a	standard
18.2890625000	n/a	4682	stimulus	n/a	n/a	noise
19.3203125000	n/a	4946	stimulus	n/a	n/a	standard
20.2734375000	n/a	5190	stimulus	n/a	n/a	noise
21.2773437500	n/a	5447	stimulus	n/a	n/a	standard
22.3125000000	n/a	5712	stimulus	n/a	n/a	standard
23.3437500000	n/a	5976	stimulus	492	n/a	oddball_with_reponse
23.8359375000	n/a	6102	response	n/a	n/a	response
24.3203125000	n/a	6226	stimulus	n/a	n/a	standard
25.2695312500	n/a	6469	stimulus	n/a	n/a	standard
26.3398437500	n/a	6743	stimulus	n/a	n/a	standard
27.3242187500	n/a	6995	stimulus	535	n/a	oddball_with_reponse
27.8593750000	n/a	7132	response	n/a	n/a	response
28.3164062500	n/a	7249	stimulus	n/a	n/a	standard
29.2851562500	n/a	7497	stimulus	n/a	n/a	standard
30.3164062500	n/a	7761	stimulus	n/a	n/a	standard
31.3671875000	n/a	8030	stimulus	n/a	n/a	noise
32.3789062500	n/a	8289	stimulus	n/a	n/a	standard
33.3281250000	n/a	8532	stimulus	n/a	n/a	noise
34.3398437500	n/a	8791	stimulus	n/a	n/a	standard
35.3632812500	n/a	9053	stimulus	477	n/a	oddball_with_reponse
